spot; pays; region; type; hauteur; orientation; nombre de voies; cotations
Pic du Perthus; France; Vaucluse; TypeFalaise; Hauteur50 à 80 m; OrientationEst, Sud-Est; Nombre de voies10 voies; CotationsDe 5c à 6b+
Pic Saint-Loup; France; Hérault; TypeFalaise; Hauteur40 m; OrientationNord; Nombre de voies30 voies; CotationsDe 7a à 9a
Pierre-Lys; France; Aude; TypeFalaise; Hauteur300 m; OrientationOuest; Nombre de voiesune centaine; CotationsDe 4a à 8a
Ploumanac’h; France; Côtes-d’Armor; TypeBloc; Hauteur10 à 11 m; OrientationToutes; Nombre de voiesEnviron 110 passages; CotationsDe 5b à 8a
Pont d'Espagne; France; Hautes-Pyrénées; TypeFalaise; Hauteur10 à 25 m; OrientationToutes; Nombre de voies60 voies; CotationsDe 3b à 8a
Pont de Camps; France; Pyrénées-Atlantiques; TypeBloc; Hauteur8 m; OrientationToutes; Nombre de voies170 passages; CotationsDe 3a à 7c
Pont Saint Nicolas; France; Gard; TypeFalaise; Hauteur15 m; OrientationSud-Est; Nombre de voies55 voies; CotationsDe 4b à 8b
Presles; France; Isère; TypeFalaise; Hauteur35 à 300 m; OrientationSud; Nombre de voies300 voies; CotationsDe 4a+ à 8b
Punta di Capineru (Pianotolli di Caldarello); France; Corse-du-Sud; TypeBloc; Hauteur4 à 5 m; OrientationToutes; Nombre de voiesBeaucoup; CotationsDe 3a à 7c+
Puy-Saint-Vincent; France; Hautes-Alpes; TypeFalaise; Hauteur40m; OrientationNord; Nombre de voies45 Voies; CotationsDe 6b+ à 8b+
Quinson (Verdon); France; Alpes-de-Haute-Provence; TypeFalaise; Hauteur35 m; OrientationSud-Ouest; Nombre de voies210 voies; CotationsDe 3b à 8b
Red River Gorge; États Unis; ; TypeFalaise; HauteurNC; OrientationNC; Nombre de voiesDes milliers; CotationsDe NC à NC
Rioupéroux; France; Isère; TypeBloc; Hauteur8 m; OrientationToutes; Nombre de voies500 pasages; CotationsDe 3+ à 8c
Rochefort-du-Gard; France; Gard; TypeFalaise; Hauteur10 à 40 m; OrientationToutes; Nombre de voies130 voies; CotationsDe 3b à 7a+
Rocher du Midi; France; Isère; TypeFalaise; Hauteur300 m; OrientationEst; Nombre de voies20 voies; CotationsDe 6c à 8b
Rocher du Saint-Julien (Buis-Les-Baronnies); France; Drôme; TypeFalaise; Hauteur125 m; OrientationSud-Ouest, Sud, Nord; Nombre de voies260 voies; CotationsDe 3b+ à 7b
Romeyer; France; Drôme; TypeFalaise; Hauteur25 et 50 m; OrientationOuest, Sud-Ouest; Nombre de voies120 voies; CotationsDe 4c à 8c
Rurey; France; Doubs; TypeFalaise; Hauteur25 à 30 m; OrientationToutes; Nombre de voiesune centaine; CotationsDe 4c à 8c
Russan; France; Gard; TypeFalaise; Hauteur45 m; OrientationSud-Ouest, Sud, Sud-Est; Nombre de voies200 voies; CotationsDe 4b à 8c
Saint Mihiel; France; Meuse; TypeFalaise; Hauteur10 à 30 m; OrientationOuest; Nombre de voies60 voies; CotationsDe 4a à 8c+
Saint Pancrasse; France; Isère; TypeFalaise; Hauteur20 à 25 m; OrientationSud, Sud-Est; Nombre de voies250 voies; CotationsDe 4c à 8c
Saint-Antonin-Noble-Val (Le Capucin); France; Tarn-et-Garonne; TypeFalaise; Hauteur80 m; OrientationSud-Est, Sud; Nombre de voies210 voies; CotationsDe 4c à 8b
Saint-Bauzille de Montmel; France; Hérault; TypeFalaise; Hauteur25 m; OrientationSud; Nombre de voies215 voies; CotationsDe 3a à 8b+
Saint-Cézaire; France; Alpes-Maritimes; TypeFalaise; Hauteur35 m; OrientationOuest, Sud, Nord; Nombre de voies100 voies; CotationsDe 5b à 8b
Saint-Florent; France; Haute-Corse; TypeFalaise; Hauteur20 à 25 m; OrientationNord, Est; Nombre de voies7 voies; CotationsDe 6c à 8b
Saint-Géry; France; Lot; TypeFalaise; Hauteur20 à 55 m; OrientationSud-Est; Nombre de voies100 voies; CotationsDe 4c à 8c
Saint-Guilhem-le-Désert; France; Hérault; TypeFalaise; Hauteur200 m; OrientationNord, Sud-Est; Nombre de voiesUne centaine; CotationsDe 5c à 8c+
Saint-Jean de Buèges; France; Hérault; TypeFalaise; Hauteur80 m; OrientationOuest, Sud; Nombre de voies30 voies; CotationsDe 5c à 7b
Saint-Léger du Ventoux; France; Vaucluse; TypeFalaise; Hauteur40 m; OrientationToutes; Nombre de voies500 voies; CotationsDe 6a à 8c
Saint-Sauves; France; Auvergne; TypeFalaise; Hauteur20 à 30 m; OrientationToutes; Nombre de voies39 voies; CotationsDe 5c à 8b+
Sainte-Croix; France; Drôme; TypeFalaise; Hauteur20 m; OrientationSud; Nombre de voies25 voies; CotationsDe 7a à 8b
Sainte-Victoire; France; Bouches-du-Rhône; TypeFalaise; Hauteur40 m; OrientationOuest, Sud-Ouest; Nombre de voies200 voies; CotationsDe 3b à 9a+
Saoû; France; Drôme; TypeFalaise; Hauteur30 à 300 m; OrientationToutes; Nombre de voies750 voies; CotationsDe 3b à 8b
Serre Châtelard; France; Drôme; TypeFalaise; Hauteur110 à 180 m; OrientationSud-Est; Nombre de voies30; CotationsDe NC à NC
Seynes; France; Gard; TypeFalaise; Hauteur20 à 40 m; OrientationSud; Nombre de voies300 voies; CotationsDe 3b à 8c
Siurana; Espagne; ; TypeFalaise; Hauteur90 m; OrientationToutes; Nombre de voies900 voies; CotationsDe 4a à 9b
Smith Rock; États Unis; ; TypeFalaise; Hauteur111 m; OrientationToutes; Nombre de voies1000 voies; CotationsDe Tous niveaux à NC
Suberpène; France; Hautes-Pyrénées; TypeFalaise; Hauteur40 à 200 m; OrientationSud; Nombre de voies150 voies; CotationsDe 5a à 8b
Suesca; Colombie; ; TypeFalaise; HauteurNC; OrientationToutes; Nombre de voies200 voies; CotationsDe 4 à 8b+
Taghia; Maroc; ; TypeFalaise; HauteurJusqu'à 800 m; OrientationToutes; Nombre de voies100 voies; CotationsDe 6a à 8b
Targasonne; France; Pyrénées-Orientales; TypeBloc; Hauteur10 m; OrientationToutes; Nombre de voies400 passages; CotationsDe 4+ à 6b
Tautavel; France; Pyrénées-Atlantiques; TypeFalaise; Hauteur20 m; OrientationOuest, Sud-Est, Est; Nombre de voies300 voies; CotationsDe 3a à 8b
Tournoux; France; Hautes-Alpes; TypeFalaise; Hauteur40 m; OrientationSud, Nord; Nombre de voies100 voies; CotationsDe 4c à 8c
Tousaus; France; Hautes-Pyrénées; TypeFalaise; Hauteur20 à 35 m; OrientationNord; Nombre de voies30 voies; CotationsDe 6c à 8b
Trenze; France; Lozère; TypeFalaise; Hauteurentre 15 et 200 m; Orientationsud, sud-ouest; Nombre de voies32; CotationsDe 3c à 7b
Troubat; France; Hautes-Pyrénées; TypeFalaise; Hauteur30 à 35 m; OrientationSud, Sud-Ouest; Nombre de voies80 couennes; CotationsDe 4b à 8b+
Tsaranoro; Madagascar; ; TypeFalaise; Hauteurjusqu'à 100 m; OrientationSud; Nombre de voies100 voies; CotationsDe 3a à 8b
Valdu Di Saltu; France; Corse-du-Sud; TypeBloc; Hauteur7 m; OrientationToutes; Nombre de voies300 voies; CotationsDe 4c à 7b
Valgorge; France; Ardèche; TypeBloc; Hauteur5 m; OrientationToutes; Nombre de voies60; CotationsDe 4+ à 8a+
Valjouffrey; France; Isère; TypeBloc; Hauteur7 m; OrientationToutes; Nombre de voies50; CotationsDe 2 à 7c
Vallouise - Falaise de la gorge; France; Hautes-Alpes; TypeFalaise; Hauteur30m; OrientationNord-Est; Nombre de voies22 voies; CotationsDe 6a à 7c
Venasque; France; Vaucluse; TypeFalaise; HauteurNC; OrientationToutes; Nombre de voies400 voies; CotationsDe 5b à 8a
Vingrau; France; Pyrénées-Orientales; TypeFalaise; Hauteur20 à 120 m; OrientationOuest; Nombre de voies300 voies; CotationsDe 4a à 8a
Zillertal; Autriche; ; TypeFalaise; HauteurNC; OrientationToutes; Nombre de voiesUn millier de voies; CotationsDe 4a à 8c
