spot; pays; region; type; hauteur; orientation; nombre de voies; cotations
Cirque d’Archiane; France; Drôme; TypeFalaise; Hauteur200 à 400 m; OrientationSud-Ouest, Sud, Est; Nombre de voies50 voies; CotationsDe 5b à 7b
Claret; France; Hérault; TypeFalaise; Hauteur30 m; OrientationSud; Nombre de voiesUne bonne centaine; CotationsDe 5c à 8c
Clemont; France; Doubs; TypeFalaise; Hauteur10 à 25 m; OrientationPlein Sud; Nombre de voies70 voies; CotationsDe 4c à 8c
Clisson; France; Loire-Atlantique; TypeBloc; Hauteur2 à 5 m; OrientationToutes; Nombre de voies100 passages; CotationsDe 3a à 7a
Col de la Colombière; France; Haute-Savoie; TypeFalaise; Hauteur20 à 80 m; OrientationSud-Est; Nombre de voies120 voies; CotationsDe 4c à 7c
Collias; France; Gard; TypeFalaise; Hauteur20 à 60 m; OrientationPlein Sud; Nombre de voies200 voies; CotationsDe 3b à 8b+
Cormot; France; Bourgogne; TypeFalaise; Hauteur35 m; OrientationToutes; Nombre de voies280 voies; CotationsDe 3c à 9a
Côté Court; France; Drôme; TypeFalaise; HauteurNC; OrientationPlein sud; Nombre de voies32; CotationsDe 6c à projet
Courchon (Verdon); France; Alpes-de-Haute-Provence; TypeFalaise; Hauteur35 m; OrientationSud, Sud-Ouest; Nombre de voies80 voies; CotationsDe 6a à 8b+
Couyrac; France; Tarn-et-Garonne; TypeFalaise; Hauteur10 à 70 m; OrientationEst, sud-est; Nombre de voies70; CotationsDe 5b à 8a
Crenans; France; Jura; TypeFalaise; HauteurNC; OrientationOuest; Nombre de voiesEnviron 60 voies; CotationsDe 6a à 8b
D.J. Face; France; Isère; TypeFalaise; Hauteur30 à 60 m; OrientationNord-Est, Est; Nombre de voiesPlus d'une centaine; CotationsDe 6a+ à 8c
Dalle de Gleize; France; Hautes-Alpes; TypeFalaise; Hauteur300 m; OrientationSud-est; Nombre de voiesNC; CotationsDe 4+ à 6a+
El Chonta; Mexique; ; TypeFalaise; Hauteur180 m; OrientationToutes; Nombre de voies100 voies; CotationsDe 6c à 9a+
Entraigues; France; Isère; TypeBloc; Hauteur7 m; OrientationToutes; Nombre de voies84; CotationsDe 2 à 8a+
Entraygues; France; Hautes-Alpes; TypeFalaise; Hauteur20 m; OrientationNord; Nombre de voies50 voies; CotationsDe 6a à 9a
Eyroles; France; Drôme; TypeFalaise; Hauteur35 m; OrientationSud-OUest, Nord-Est; Nombre de voies400 voies; CotationsDe 4+ à 8+
Falaise de Correns (Châteauvert); France; Var; TypeFalaise; Hauteur20 à 40 m; OrientationToutes; Nombre de voies200 voies sur 36 secteurs; CotationsDe 3a à 8b
Falaise d’Eson (Pont-de-Barret); France; Drôme; TypeFalaise; Hauteur10 à 35 m; OrientationSud, Sud-Ouest; Nombre de voiesUne centaine; CotationsDe 5a à 7c+
Fauzan; France; Hérault; TypeFalaise; Hauteur15 à 25 m; OrientationSud; Nombre de voies250 voies; CotationsDe 5b à 8a
Fétide Beach; France; Vaucluse; TypeFalaise; Hauteur25 m; OrientationNord; Nombre de voies30 couennes; CotationsDe 6c à 9a
Fixin; France; Bourgogne; TypeFalaise; Hauteur5 à 35 m; OrientationSud; Nombre de voies250 voies; CotationsDe 3a à 8c
Flaine; France; Haute-Savoie; TypeFalaise; Hauteur20 à 40 m; OrientationSud, Sud-Est; Nombre de voies200 voies; CotationsDe 3c à 8b
Fontainebleau; France; Seine-et-Marne; TypeBloc; HauteurToutes les tailles !; OrientationToutes; Nombre de voiesDes milliers de passages; CotationsDe 3a à 8c+
Genat; France; Ariège; TypeFalaise; Hauteur35 m; OrientationSud-Ouest, Sud, Sud-Est; Nombre de voiesUne soixantaine; CotationsDe 5c à 8b+
Getu; Chine; ; TypeFalaise; Hauteur240 m; OrientationToutes; Nombre de voies250 voies; CotationsDe 5c à 9a
Glandasse; France; Drôme; TypeFalaise; Hauteur200 à 450 m; OrientationSud-Ouest; Nombre de voies30 voies; CotationsDe 6a à 7b
Gorges de L'Ardèche; France; Ardèche; TypeFalaise; Hauteur30 à 50 m; OrientationSud; Nombre de voies50 voies; CotationsDe 7a à 8b+
Gorges de La Jonte; France; Lozère; TypeFalaise; Hauteur155 m; OrientationToutes; Nombre de voies300 voies; CotationsDe 4c à 8c
Gorges du Blavet; France; Var; TypeFalaise; Hauteur95 m; OrientationToutes; Nombre de voies100 voies; CotationsDe 3a à 8b+
Gorges du Tarn; France; Lozère; TypeFalaise; HauteurNC; OrientationToutes; Nombre de voies700 voies; CotationsDe 3a à 8c
Grotte du Brotsch; France; Bas-Rhin; TypeFalaise; Hauteur20 à 25 m; OrientationSud-Ouest; Nombre de voies50 voies; CotationsDe 6a à 8b+
Grottes de Sare; France; Pyrénées-Atlantiques; TypeFalaise; Hauteur10 à 15 m; OrientationSud; Nombre de voiesUne cinquentaine; CotationsDe 4a à 8a
Gueberschwihr; France; Haut-Rhin; TypeBloc, Falaise; Hauteur30 m; OrientationSud-Est; Nombre de voies50 blocs; CotationsDe 4a à 7c+
Kalymnos; Grèce; ; TypeFalaise; HauteurNC; OrientationToutes; Nombre de voies1700 voies; CotationsDe 4+ à 9a+
Kerlouan; France; Finistère; TypeBloc; Hauteur10 m; OrientationToutes; Nombre de voiesplus de 1000; CotationsDe 3a à 8a
Krappenfels; France; Moselle; TypeFalaise; Hauteur20 m; OrientationSud-Ouest; Nombre de voiesUne centaine; CotationsDe 4c à 7b+
L'hortus; France; Hérault; TypeFalaise; Hauteur90 à 130 m; OrientationSud; Nombre de voies120 voies; CotationsDe 5b à 8b
L'Obiou; France; Isère; TypeFalaise; Hauteur340 m; OrientationEst; Nombre de voiesNC; CotationsDe 5a à 6b+
La Carrière du Maupas; France; Vaucluse; TypeFalaise; Hauteur30 à 35 m; OrientationNord, Nord-Est; Nombre de voies20 voies; CotationsDe 7a à 8b+
La Chalp; France; Isère; TypeFalaise; Hauteur15 à 25 m; OrientationEst, Sud-Est; Nombre de voies41; CotationsDe 5b à 8b
La Chambotte; France; Savoie; TypeFalaise; Hauteur10 à 90 m; OrientationOuest, Sud-Ouest; Nombre de voies300 voies; CotationsDe 4b à 8c
La Clape; France; Aude; TypeFalaise; Hauteur20 m; OrientationToutes; Nombre de voies350 voies; CotationsDe NC à 7c+
La Combe Obscure; France; Vaucluse; TypeFalaise; Hauteur35 à 40 m; OrientationSud; Nombre de voiesUne centaine; CotationsDe 4a à 7c+
La Concession; France; Vaucluse; TypeFalaise; Hauteur25 m; OrientationNord; Nombre de voies52 voies; CotationsDe 5b à 8c
La Croix; France; Tarn-et-Garonne; TypeFalaise; Hauteurde 15 à 80 m; OrientationOuest; Nombre de voies60; CotationsDe 4a à 8b+
La Dalle de Chantelouve; France; Isère; TypeFalaise; Hauteur20 à 80 m; OrientationEst; Nombre de voies17; CotationsDe 3a à 6a+/b
La Dent de La Rancune; France; Auvergne; TypeFalaise; Hauteur90 m; OrientationToutes; Nombre de voies30 voies; CotationsDe 4c à 8a
La Dibona; France; Isère; TypeFalaise; Hauteur300 à 400 m; OrientationToutes; Nombre de voies20 voies; CotationsDe 4a à 8a
La Falaise de Cohons; France; Haute-Marne; TypeFalaise; Hauteur20 à 25 m; OrientationSud; Nombre de voies45 voies; CotationsDe 4a à 8a
La Gittaz; France; Savoie; TypeFalaise; Hauteur10 à 35 m; OrientationSud-Ouest; Nombre de voies27 voies; CotationsDe 6a à 8c
La Goulandière; France; Isère; TypeFalaise; HauteurNC; OrientationSud-est. En été, à l’ombre l’après-midi à partir de 14 h.; Nombre de voies49; CotationsDe NC à NC
La Grande Falaise (Freissinières); France; Hautes-Alpes; TypeFalaise; Hauteur150 m; OrientationSud, Sud-Ouest; Nombre de voies100 voies; CotationsDe 5a à 8c
La Hottée du Diable; France; Marne; TypeBloc; Hauteur3 à 8 m; OrientationToutes; Nombre de voies100 voies; CotationsDe 3a à 8a
La Madeleine; France; Tarn-et-Garonne; Type; Hauteur10 à 20 m; OrientationSud; Nombre de voies50; CotationsDe 4a à 8a
La Martinswand; France; Haut-Rhin; TypeFalaise; Hauteur80 m; OrientationSud-Est; Nombre de voies100 voies; CotationsDe 3c à 8b
La Mâture; France; Pyrénées-Atlantiques; TypeFalaise; Hauteur40 à 200 m; OrientationSud; Nombre de voies130 voies; CotationsDe 4c à 8a+
La Plage; France; Drôme; TypeFalaise; Hauteur30 à 35 m; OrientationSud-est. La falaise prend le soleil le matin, et passe à l’ombre vers 14-15h en demi-saison. On ne viendra que l’après-midi quand il fait chaud, mais si le temps est couvert et la température raisonnable, on peut venir un peu plus tôt dans la journée.; Nombre de voies33; CotationsDe 7a+ à 8c
