spot,pays,region,type,hauteur,orientation,nombre de voies,cotations
Flaine,France,Haute-Savoie,Falaise,20 à 40 m,"Sud, Sud-Est",200 voies,De 3c à 8b
Fontainebleau,France,Seine-et-Marne,Bloc,Toutes les tailles !,Toutes,Des milliers de passages,De 3a à 8c+
Genat,France,Ariège,Falaise,35 m,"Sud-Ouest, Sud, Sud-Est",Une soixantaine,De 5c à 8b+
Getu,Chine,,Falaise,240 m,Toutes,250 voies,De 5c à 9a
Glandasse,France,Drôme,Falaise,200 à 450 m,Sud-Ouest,30 voies,De 6a à 7b
Gorges de L'Ardèche,France,Ardèche,Falaise,30 à 50 m,Sud,50 voies,De 7a à 8b+
Gorges de La Jonte,France,Lozère,Falaise,155 m,Toutes,300 voies,De 4c à 8c
Gorges du Blavet,France,Var,Falaise,95 m,Toutes,100 voies,De 3a à 8b+
Gorges du Tarn,France,Lozère,Falaise,NC,Toutes,700 voies,De 3a à 8c
Grotte du Brotsch,France,Bas-Rhin,Falaise,20 à 25 m,Sud-Ouest,50 voies,De 6a à 8b+
Grottes de Sare,France,Pyrénées-Atlantiques,Falaise,10 à 15 m,Sud,Une cinquentaine,De 4a à 8a
Gueberschwihr,France,Haut-Rhin,"Bloc, Falaise",30 m,Sud-Est,50 blocs,De 4a à 7c+
Kalymnos,Grèce,,Falaise,NC,Toutes,1700 voies,De 4+ à 9a+
Kerlouan,France,Finistère,Bloc,10 m,Toutes,plus de 1000,De 3a à 8a
Krappenfels,France,Moselle,Falaise,20 m,Sud-Ouest,Une centaine,De 4c à 7b+
L'hortus,France,Hérault,Falaise,90 à 130 m,Sud,120 voies,De 5b à 8b
L'Obiou,France,Isère,Falaise,340 m,Est,NC,De 5a à 6b+
La Carrière du Maupas,France,Vaucluse,Falaise,30 à 35 m,"Nord, Nord-Est",20 voies,De 7a à 8b+
La Chalp,France,Isère,Falaise,15 à 25 m,"Est, Sud-Est",41,De 5b à 8b
La Chambotte,France,Savoie,Falaise,10 à 90 m,"Ouest, Sud-Ouest",300 voies,De 4b à 8c
La Clape,France,Aude,Falaise,20 m,Toutes,350 voies,De NC à 7c+
La Combe Obscure,France,Vaucluse,Falaise,35 à 40 m,Sud,Une centaine,De 4a à 7c+
La Concession,France,Vaucluse,Falaise,25 m,Nord,52 voies,De 5b à 8c
La Croix,France,Tarn-et-Garonne,Falaise,de 15 à 80 m,Ouest,60,De 4a à 8b+
La Dalle de Chantelouve,France,Isère,Falaise,20 à 80 m,Est,17,De 3a à 6a+/b
La Dent de La Rancune,France,Auvergne,Falaise,90 m,Toutes,30 voies,De 4c à 8a
La Dibona,France,Isère,Falaise,300 à 400 m,Toutes,20 voies,De 4a à 8a
La Falaise de Cohons,France,Haute-Marne,Falaise,20 à 25 m,Sud,45 voies,De 4a à 8a
La Gittaz,France,Savoie,Falaise,10 à 35 m,Sud-Ouest,27 voies,De 6a à 8c
La Goulandière,France,Isère,Falaise,NC,"Sud-est. En été, à l’ombre l’après-midi à partir de 14 h.",49,De NC à NC
La Grande Falaise (Freissinières),France,Hautes-Alpes,Falaise,150 m,"Sud, Sud-Ouest",100 voies,De 5a à 8c
La Hottée du Diable,France,Marne,Bloc,3 à 8 m,Toutes,100 voies,De 3a à 8a
La Madeleine,France,Tarn-et-Garonne,,10 à 20 m,Sud,50,De 4a à 8a
La Martinswand,France,Haut-Rhin,Falaise,80 m,Sud-Est,100 voies,De 3c à 8b
